sensor_left,sensor_center,sensor_right,steering_output
300.00888189987785,297.7623342521759,300.01849745210905,-0.008697773810933427
300.8774107919604,303.06323578270155,299.80704314365664,0.06431821442053831
301.0102982270542,298.1213789463412,299.52853142068244,0.0782023318992674
300.1017340682224,299.1537788760301,312.10273550047293,-0.7348777539987487
302.6341643265656,299.12535096323194,407.6417641467094,-6.180445974886124
300.27702979804525,300.8754195880374,305.4239393322508,0.7412614261491035
300.3446028151519,297.9632005563088,301.33024856698034,-0.007669649767649958
300.8191870187228,299.4857972594601,298.69375344080356,0.13738247219343863
309.43736380782883,311.9918892262556,310.153456107619,-0.06421987376660127
300.4149096863203,299.19601150572964,296.73897590626484,0.22771694980122903
302.2395545470291,299.28315234786385,298.1079884849213,0.21113462592591475
301.0987854241415,297.6600292518098,299.44120125084737,0.05813938977657017
299.5667899503385,300.6753916115119,299.8828338363524,-0.03553847489377632
310.77152877120034,313.3489046683845,315.12751954979393,-0.25819900785547645
310.2547250682996,309.1064448081338,314.08783214494275,-0.18642651681265365
306.1947627211515,307.57787632362397,354.7760301949828,-2.876544977663447
308.73597812275824,307.9771224730027,307.36375705487984,0.568145938811017
300.52069217652763,299.3156509796901,301.59638160904035,-0.07826357662954707
298.4966469529131,300.3449085730019,298.2146300986415,0.027677905581423377
299.1938745692403,299.0506060624175,299.06490643022846,0.004917919797993023
300.469768776588,301.3665368167211,299.36006899326605,0.06529230560919927
302.8613627163192,304.8465622826012,305.8831913520407,-0.19240671597650819
303.5976229496267,304.5508150145077,305.8458114866044,-0.10467302586144683
303.5410598002911,301.71841924337656,303.4974487135008,0.025098550577197898
301.94728469111743,302.31923037307894,302.8727229178052,-0.05596240446917079
301.0780629349307,301.7565451259371,304.40199444550336,-0.19018150836748193
297.2841606847626,302.79399466154797,336.9780101178493,-2.348391650879476
299.9417458500985,299.58077112557163,302.77869110078166,0.22672177928987935
302.0132551507877,302.46263655795894,299.2314870893058,0.1952755361957452
301.2058876007924,301.7884732283284,301.6032108164696,-0.05165707355545124
299.0543992066935,299.82560531589957,298.52797376752306,0.035558758506999195
300.0201019656815,299.35722111917937,301.8210287442319,-0.11331986110473054
302.81531167955586,300.1700762675851,301.5467727853558,0.09412160143750725
